Date,Open,High,Low,Close,
4/1/2010,7.63,7.66,7.59,7.64,
5/1/2010,7.67,7.7,7.62,7.66,
6/1/2010,7.66,7.69,7.53,7.53,
7/1/2010,7.56,7.57,7.47,7.52,
8/1/2010,7.51,7.57,7.47,7.57,
11/1/2010,7.61,7.61,7.44,7.5,
12/1/2010,7.48,7.49,7.37,7.42,
13/01/2010,7.43,7.53,7.29,7.52,
14/01/2010,7.5,7.52,7.47,7.48,
15/01/2010,7.55,7.56,7.35,7.35,
19/01/2010,7.44,7.69,7.4,7.68,
20/01/2010,7.68,7.7,7.48,7.56,
21/01/2010,7.58,7.62,7.4,7.43,
22/01/2010,7.39,7.41,7.04,7.06,
25/01/2010,7.24,7.31,7.15,7.25,
26/01/2010,7.35,7.63,7.24,7.36,
27/01/2010,7.39,7.52,7.13,7.42,
28/01/2010,7.33,7.34,7.1,7.12,
29/01/2010,7.19,7.22,6.79,6.86,
1/2/2010,6.88,7,6.83,6.95,
2/2/2010,7,7.01,6.91,7,
3/2/2010,6.97,7.15,6.94,7.12,
4/2/2010,7.03,7.08,6.84,6.86,
5/2/2010,6.88,7,6.82,6.98,
8/2/2010,6.99,7.07,6.93,6.93,
9/2/2010,7.02,7.05,6.96,7.01,
10/2/2010,6.99,7.02,6.94,6.97,
11/2/2010,6.96,7.13,6.93,7.1,
12/2/2010,7.08,7.2,6.98,7.16,
16/02/2010,7.22,7.27,7.2,7.26,
17/02/2010,7.29,7.3,7.17,7.23,
18/02/2010,7.2,7.28,7.18,7.25,
19/02/2010,7.21,7.26,7.18,7.2,
22/02/2010,7.23,7.23,7.11,7.16,
23/02/2010,7.14,7.19,6.99,7.04,
24/02/2010,7.09,7.19,7.07,7.17,
25/02/2010,7.05,7.25,7.03,7.21,
26/02/2010,7.23,7.33,7.21,7.31,
1/3/2010,7.35,7.48,7.34,7.46,
2/3/2010,7.5,7.53,7.42,7.46,
3/3/2010,7.47,7.5,7.43,7.48,
4/3/2010,7.48,7.53,7.45,7.53,
5/3/2010,7.68,7.85,7.67,7.82,
8/3/2010,7.86,7.86,7.79,7.82,
9/3/2010,7.79,8.04,7.78,7.97,
10/3/2010,7.99,8.05,7.97,8.03,
11/3/2010,8,8.05,7.98,8.05,
12/3/2010,8.11,8.13,8.06,8.09,
15/03/2010,8.05,8.05,7.87,7.99,
16/03/2010,8.01,8.04,7.95,8.02,
17/03/2010,8.03,8.09,7.97,8,
18/03/2010,8,8.04,7.95,8.02,
19/03/2010,8.04,8.04,7.9,7.94,
22/03/2010,7.88,8.07,7.86,8.03,
23/03/2010,8.06,8.17,8,8.16,
24/03/2010,8.14,8.22,8.13,8.19,
25/03/2010,8.25,8.25,8.08,8.09,
26/03/2010,8.18,8.28,8.16,8.25,
29/03/2010,8.32,8.35,8.27,8.3,
30/03/2010,8.45,8.48,8.37,8.42,
31/03/2010,8.42,8.45,8.37,8.39,
1/4/2010,8.49,8.53,8.31,8.43,
5/4/2010,8.39,8.52,8.38,8.52,
6/4/2010,8.51,8.58,8.46,8.56,
7/4/2010,8.56,8.64,8.52,8.59,
8/4/2010,8.59,8.63,8.5,8.57,
9/4/2010,8.62,8.64,8.59,8.64,
12/4/2010,8.68,8.68,8.64,8.65,
13/04/2010,8.65,8.67,8.61,8.66,
14/04/2010,8.76,8.78,8.72,8.77,
15/04/2010,8.78,8.89,8.77,8.89,
16/04/2010,8.89,8.97,8.73,8.84,
19/04/2010,8.81,8.85,8.63,8.82,
20/04/2010,8.9,8.9,8.68,8.74,
21/04/2010,9.22,9.29,9.13,9.26,
22/04/2010,9.22,9.53,9.15,9.52,
23/04/2010,9.54,9.72,9.54,9.67,
26/04/2010,9.71,9.73,9.58,9.63,
27/04/2010,9.54,9.57,9.3,9.36,
28/04/2010,9.39,9.43,9.16,9.34,
29/04/2010,9.39,9.64,9.36,9.59,
30/04/2010,9.63,9.66,9.32,9.32,
3/5/2010,9.44,9.57,9.39,9.51,
4/5/2010,9.37,9.4,9.17,9.24,
5/5/2010,9.03,9.22,8.88,9.14,
6/5/2010,9.07,9.22,7.12,8.79,
7/5/2010,8.71,8.81,8.04,8.42,
10/5/2010,8.97,9.09,8.88,9.07,
11/5/2010,9,9.28,8.95,9.16,
12/5/2010,9.27,9.4,9.24,9.36,
13/05/2010,9.4,9.46,9.16,9.23,
14/05/2010,9.11,9.16,8.91,9.07,
17/05/2010,9.08,9.15,8.85,9.08,
18/05/2010,9.18,9.23,8.94,9.01,
19/05/2010,8.91,9.03,8.74,8.87,
20/05/2010,8.62,8.71,8.44,8.49,
21/05/2010,8.27,8.73,8.26,8.65,
24/05/2010,8.83,8.96,8.8,8.81,
25/05/2010,8.57,8.81,8.47,8.76,
26/05/2010,8.94,9,8.71,8.72,
27/05/2010,8.95,9.07,8.9,9.05,
28/05/2010,9.26,9.26,9.05,9.17,
1/6/2010,9.28,9.5,9.25,9.32,
2/6/2010,9.46,9.46,9.3,9.43,
3/6/2010,9.47,9.48,9.3,9.4,
4/6/2010,9.23,9.35,9.09,9.14,
7/6/2010,9.23,9.26,8.95,8.96,
8/6/2010,9.05,9.06,8.77,8.9,
9/6/2010,8.98,9,8.66,8.69,
10/6/2010,8.74,8.96,8.65,8.95,
11/6/2010,8.86,9.07,8.83,9.05,
14/06/2010,9.14,9.26,9.07,9.08,
15/06/2010,9.13,9.28,9.13,9.27,
16/06/2010,9.32,9.56,9.31,9.54,
17/06/2010,9.66,9.75,9.63,9.71,
18/06/2010,9.72,9.82,9.69,9.79,
21/06/2010,9.92,9.96,9.6,9.65,
22/06/2010,9.72,9.86,9.7,9.78,
23/06/2010,9.81,9.81,9.57,9.68,
24/06/2010,9.68,9.76,9.57,9.61,
25/06/2010,9.64,9.65,9.49,9.53,
28/06/2010,9.53,9.63,9.45,9.58,
29/06/2010,9.44,9.44,9.08,9.15,
30/06/2010,9.17,9.21,8.93,8.98,
1/7/2010,9.08,9.1,8.69,8.87,
2/7/2010,8.95,8.96,8.69,8.82,
6/7/2010,8.97,9.03,8.79,8.88,
7/7/2010,8.95,9.24,8.92,9.24,
8/7/2010,9.38,9.39,9.1,9.22,
9/7/2010,9.18,9.28,9.11,9.27,
12/7/2010,9.23,9.35,9.1,9.19,
13/07/2010,9.15,9.16,8.8,8.99,
14/07/2010,8.91,9.14,8.89,9.03,
15/07/2010,8.87,9.18,8.83,8.98,
16/07/2010,9.04,9.11,8.87,8.93,
19/07/2010,8.92,8.92,8.56,8.77,
20/07/2010,8.68,9.03,8.57,9,
21/07/2010,9.46,9.47,9.07,9.08,
22/07/2010,9.21,9.29,9.12,9.25,
23/07/2010,9.18,9.3,9.15,9.28,
26/07/2010,9.29,9.29,9.2,9.26,
27/07/2010,9.31,9.46,9.3,9.43,
28/07/2010,9.42,9.5,9.29,9.32,
29/07/2010,9.31,9.38,9.15,9.22,
30/07/2010,9.14,9.28,9.1,9.19,
2/8/2010,9.3,9.38,9.27,9.35,
3/8/2010,9.32,9.4,9.27,9.35,
4/8/2010,9.38,9.44,9.3,9.39,
5/8/2010,9.34,9.4,9.31,9.35,
6/8/2010,9.28,9.34,9.2,9.29,
9/8/2010,9.34,9.36,9.27,9.35,
10/8/2010,9.28,9.3,9.2,9.26,
11/8/2010,9.11,9.13,8.92,8.94,
12/8/2010,8.81,9.04,8.79,8.99,
13/08/2010,8.97,9,8.9,8.9,
16/08/2010,8.85,8.93,8.81,8.84,
17/08/2010,8.93,9.09,8.9,9,
18/08/2010,9.01,9.1,8.99,9.04,
19/08/2010,9.03,9.05,8.88,8.92,
20/08/2010,8.91,9.07,8.89,8.92,
23/08/2010,8.99,9,8.76,8.78,
24/08/2010,8.68,8.68,8.52,8.57,
25/08/2010,8.5,8.71,8.47,8.67,
26/08/2010,8.77,8.78,8.58,8.58,
27/08/2010,8.63,8.66,8.41,8.63,
30/08/2010,8.6,8.78,8.6,8.66,
31/08/2010,8.64,8.73,8.58,8.68,
1/9/2010,8.84,8.98,8.8,8.94,
2/9/2010,8.98,9.01,8.88,9.01,
3/9/2010,9.1,9.24,9.09,9.24,
7/9/2010,9.16,9.27,9.15,9.21,
8/9/2010,9.28,9.44,9.25,9.39,
9/9/2010,9.46,9.52,9.39,9.4,
10/9/2010,9.4,9.45,9.34,9.41,
13/09/2010,9.5,9.58,9.49,9.54,
14/09/2010,9.51,9.61,9.48,9.57,
15/09/2010,9.57,9.66,9.57,9.65,
16/09/2010,9.65,9.88,9.63,9.88,
17/09/2010,9.92,9.93,9.77,9.83,
20/09/2010,9.86,10.14,9.85,10.12,
21/09/2010,10.14,10.26,10.1,10.13,
22/09/2010,10.1,10.29,10.09,10.28,
23/09/2010,10.23,10.46,10.21,10.32,
24/09/2010,10.43,10.48,10.38,10.44,
27/09/2010,10.5,10.53,10.39,10.4,
28/09/2010,10.42,10.42,9.82,10.25,
29/09/2010,10.26,10.35,10.21,10.26,
30/09/2010,10.32,10.36,10.04,10.13,
1/10/2010,10.23,10.24,10.05,10.09,
4/10/2010,10.06,10.1,9.92,9.95,
